STARNDARD	z
0	3.95862069
1	3.961576355
2	3.963546798
3	3.958702065
4	3.958661417
5	3.961576355
6	3.960552268
7	3.963402572
8	3.961500494
9	3.962524655
10	3.96933729
11	3.969276511
12	3.96531219
13	3.958291956
14	3.952380952
15	3.950544016
16	3.949454906
17	3.951388889
18	3.940652819
19	3.945436508
20	3.948207171
21	3.948207171
22	3.948155533
23	3.950149551
24	3.948310139
25	3.954274354
26	3.957298908
27	3.952286282
28	3.952475248
29	3.955401388
30	3.95256917
31	3.958333333
32	3.961271102
33	3.959244533
34	3.951388889
35	3.954274354
36	3.946428571
37	3.947420635
38	3.954274354
39	3.957298908
40	3.963220676
41	3.959325397
42	3.95734127
43	3.953373016
44	3.958167331
45	3.958333333
46	3.965139442
47	3.962301587
48	3.965104686
49	3.968095713
50	3.96812749
51	3.969123506
52	3.971115538
53	3.967229394
54	3.968253968
55	3.967229394
56	3.964179104
57	3.963293651
58	3.965174129
59	3.965104686
60	3.965139442
61	3.956349206
62	3.958250497
63	3.96039604
64	3.957425743
65	3.961309524
66	3.954455446
67	3.961232604
68	3.959365709
69	3.950544016
70	3.94836147
71	3.950445986
72	3.958291956
73	3.951485149
74	3.954319762
75	3.95531281
76	3.95049505
77	3.943564356
78	3.945436508
79	3.940711462
80	3.946587537
81	3.949554896
82	3.950592885
83	3.956478734
84	3.947628458
85	3.950641658
86	3.947783251
87	3.942913386
88	3.943952802
89	3.952522255
90	3.949604743
91	3.949604743
92	3.945705824
93	3.946640316
94	3.946481665
95	3.944609298
96	3.948463826
97	3.946692991
98	3.946587537
99	3.941699605
100	3.942687747
101	3.938735178
102	3.92920354
103	3.930966469
104	3.936821323
105	3.942857143
106	3.94679803
107	3.943786982
108	3.949604743
109	3.953233831
110	3.951485149
111	3.948717949
112	3.946692991
113	3.944827586
114	3.942857143
115	3.950544016
116	3.95256917
117	3.957425743
118	3.956478734
119	3.958456973
120	3.961386139
121	3.962450593
122	3.964391691
123	3.95952616
124	3.958538993
125	3.960474308
126	3.955621302
127	3.957551826
128	3.956564659
129	3.957551826
130	3.962413452
131	3.957509881
132	3.95270936
133	3.956607495
134	3.956607495
135	3.955665025
136	3.960552268
137	3.961538462
138	3.952848723
139	3.959605911
140	3.959605911
141	3.959486166
142	3.960435213
143	3.961462451
144	3.961386139
145	3.955445545
146	3.953511375
147	3.950544016
148	3.948667325
149	3.953465347
150	3.947628458
151	3.951628825
152	3.954500495
153	3.951628825
154	3.953511375
155	3.950544016
156	3.941929134
157	3.937992126
158	3.953373016
159	3.943620178
160	3.944609298
161	3.948463826
162	3.950544016
163	3.941757157
164	3.943620178
165	3.945544554
166	3.945490585
167	3.938613861
168	3.945382324
169	3.953419227
170	3.947576657
171	3.952428147
172	3.953419227
173	3.951340616
174	3.944718657
175	3.954365079
176	3.943675889
177	3.946481665
178	3.944718657
179	3.945705824
180	3.959285005
181	3.956392468
182	3.951581028
183	3.955489614
184	3.958456973
185	3.961309524
186	3.958333333
187	3.959325397
